,loss,accuracy,val_loss,val_accuracy,N_Epochs
0,1.6138454675674438,0.4068000018596649,1.241323709487915,0.5554999709129333,1
1,1.1436221599578857,0.5912399888038635,1.0290766954421997,0.6403999924659729,2
2,0.9482601284980774,0.6621999740600586,0.8130599856376648,0.718500018119812,3
3,0.8238954544067383,0.7092199921607971,0.8316327333450317,0.7246999740600586,4
4,0.7393572926521301,0.7420200109481812,0.7588203549385071,0.7466999888420105,5
5,0.682439386844635,0.7623000144958496,0.7349001169204712,0.7526000142097473,6
6,0.6438797116279602,0.7749800086021423,0.6725414991378784,0.770799994468689,7
7,0.6106867790222168,0.788640022277832,0.6084474325180054,0.7915999889373779,8
8,0.576831042766571,0.8009200096130371,0.6058205366134644,0.7954999804496765,9
9,0.5511456727981567,0.8070399761199951,0.5939731597900391,0.8032000064849854,10
10,0.5295673608779907,0.8162800073623657,0.5567689538002014,0.8148000240325928,11
11,0.5118576288223267,0.8220800161361694,0.5863279104232788,0.8062000274658203,12
12,0.4948790669441223,0.828499972820282,0.6084325909614563,0.8025000095367432,13
13,0.4750728905200958,0.8336399793624878,0.5563985109329224,0.8202000260353088,14
14,0.45933061838150024,0.840719997882843,0.5614422559738159,0.820900022983551,15
15,0.45437726378440857,0.8420799970626831,0.5613250732421875,0.8166999816894531,16
16,0.4348403513431549,0.848360002040863,0.5934767127037048,0.8079000115394592,17
17,0.4250752031803131,0.8504800200462341,0.5621825456619263,0.8203999996185303,18
18,0.422207772731781,0.851580023765564,0.60480797290802,0.8057000041007996,19
19,0.40456536412239075,0.8598399758338928,0.6181970834732056,0.8091999888420105,20
20,0.40078163146972656,0.8597000241279602,0.6044751405715942,0.8138999938964844,21
21,0.4016176164150238,0.858519971370697,0.5648082494735718,0.824400007724762,22
22,0.38380104303359985,0.8660600185394287,0.5883463025093079,0.8191999793052673,23
23,0.3790188729763031,0.8676599860191345,0.5572470426559448,0.8224999904632568,24
24,0.37380146980285645,0.8693199753761292,0.5597856640815735,0.829800009727478,25
